GBP,CROSSRATE
EUR,CROSSRATE
GBX,CROSSRATE
SUR,CROSSRATE
USD,CROSSRATE
RUR,CROSSRATE
CNY,CROSSRATE
HKD,CROSSRATE
CHF,CROSSRATE
JPY,CROSSRATE
KZT,CROSSRATE
TRY,CROSSRATE
CAD,CROSSRATE
GLD,CROSSRATE
SLV,CROSSRATE
RU000A0JV2J0,PSAU
RU000A0JVKF9,PSAU
RU000A0JWZM1,PSAU
RU000A0ZYCD1,PSAU
RU000A0ZYKU8,PSAU
RU000A0ZYL22,PSAU
RU000A0ZYM47,PSAU
RU000A0ZZQQ0,PSAU
RU000A0ZZSW4,PSAU
RU000A0ZZXZ7,PSAU
RU000A0ZZYL5,PSAU
RU000A0ZZZV1,PSAU
RU000A101WL3,PSAU
RU000A101Z74,PSAU
RU000A1024L7,PSAU
RU000A1026W9,PSAU
RU000A1029F8,PSAU
RU000A102CD0,PSAU
RU000A102GC3,PSAU
RU000A102H34,PSAU
RU000A102HF4,PSAU
RU000A102JJ2,PSAU
RU000A102K88,PSAU
RU000A102KN2,PSAU
RU000A102L61,PSAU
RU000A102L79,PSAU
RU000A102LF6,PSAU
RU000A102M37,PSAU
RU000A102PB6,PSAU
RU000A102QH1,PSAU
SU53007RMFS9,PSAU
RU000A0JVUB7,PSBB
RU000A0ZYD55,PSBB
RU000A0ZZAT8,PSBB
SU53003RMFS8,PSBB
SU53004RMFS6,PSBB
SU53005RMFS3,PSBB
SU53006RMFS1,PSBB
SU53007RMFS9,PSBB
RU000A101YY2,PSSU
ABRD,SMAL
ACKO,SMAL
AFKS,SMAL
AFLT,SMAL
ALBK,SMAL
ALRS,SMAL
AMEZ,SMAL
APTK,SMAL
AQUA,SMAL
ARSA,SMAL
ASSB,SMAL
BISV,SMAL
BISVP,SMAL
BLNG,SMAL
BSPB,SMAL
BSPBP,SMAL
CBOM,SMAL
CHEP,SMAL
CHGZ,SMAL
CNTL,SMAL
CNTLP,SMAL
DASB,SMAL
DIOD,SMAL
DSKY,SMAL
DVEC,SMAL
EELT,SMAL
ENRU,SMAL
FEES,SMAL
FESH,SMAL
FLOT,SMAL
GAZA,SMAL
GAZAP,SMAL
GAZC,SMAL
GAZP,SMAL
GAZS,SMAL
GAZT,SMAL
GLTR,SMAL
GRNT,SMAL
GTLC,SMAL
GTRK,SMAL
GTSS,SMAL
HIMC,SMAL
HIMCP,SMAL
HYDR,SMAL
IRAO,SMAL
IRGZ,SMAL
IRKT,SMAL
ISKJ,SMAL
JNOS,SMAL
JNOSP,SMAL
KAZT,SMAL
KAZTP,SMAL
KBSB,SMAL
KBTK,SMAL
KCHE,SMAL
KCHEP,SMAL
KGKC,SMAL
KGKCP,SMAL
KLSB,SMAL
KMAZ,SMAL
KMTZ,SMAL
KRKO,SMAL
KRKOP,SMAL
KROT,SMAL
KROTP,SMAL
KRSB,SMAL
KRSBP,SMAL
KSGR,SMAL
KTSB,SMAL
KTSBP,SMAL
